reaction,reaction,metabolite,global_id,flux
EX_dgsn_m,EX_dgsn_m,dgsn_m,EX_dgsn(e),0.1
EX_no_m,EX_no_m,no_m,EX_no(e),0.993399300810804
EX_akg_m,EX_akg_m,akg_m,EX_akg(e),0.3066453045757614
EX_urea_m,EX_urea_m,urea_m,EX_urea(e),0.6657560866666656
EX_2obut_m,EX_2obut_m,2obut_m,EX_2obut(e),0.1
EX_dextrin_m,EX_dextrin_m,dextrin_m,EX_dextrin(e),0.027093126579301
EX_ocdcea_m,EX_ocdcea_m,ocdcea_m,EX_ocdcea(e),0.0681445
EX_glygn5_m,EX_glygn5_m,glygn5_m,EX_glygn5(e),0.3985349788888845
EX_eltr_m3_m,EX_eltr_m3_m,eltr_m3_m,EX_eltr_m3(e),7.741250000001169e-05
EX_2ddglcn_m,EX_2ddglcn_m,2ddglcn_m,EX_2ddglcn(e),0.1912144614285708
EX_kestopt_m,EX_kestopt_m,kestopt_m,EX_kestopt(e),0.002821167
EX_glygln_m,EX_glygln_m,glygln_m,EX_glygln(e),0.0078154279999998
EX_xylan_m,EX_xylan_m,xylan_m,EX_xylan(e),0.000244371012784
EX_acmana_m,EX_acmana_m,acmana_m,EX_acmana(e),0.1
EX_actn_R_m,EX_actn_R_m,actn_R_m,EX_actn_R(e),0.2302778095833332
EX_lac_L_m,EX_lac_L_m,lac_L_m,EX_lac_L(e),0.3435595491666671
EX_pect_m,EX_pect_m,pect_m,EX_pect(e),3.34e-05
EX_glcur_m,EX_glcur_m,glcur_m,EX_glcur(e),0.1019421038749995
EX_amylopect900_m,EX_amylopect900_m,amylopect900_m,EX_amylopect900(e),1.57e-05
EX_amylose300_m,EX_amylose300_m,amylose300_m,EX_amylose300(e),4.7e-05
EX_arabinogal_m,EX_arabinogal_m,arabinogal_m,EX_arabinogal(e),2.19e-05
EX_homogal_m,EX_homogal_m,homogal_m,EX_homogal(e),0.000128235
EX_rhamnogalurI_m,EX_rhamnogalurI_m,rhamnogalurI_m,EX_rhamnogalurI(e),1.4499999999999992e-05
EX_arabinan101_m,EX_arabinan101_m,arabinan101_m,EX_arabinan101(e),0.000166277
EX_arabinoxyl_m,EX_arabinoxyl_m,arabinoxyl_m,EX_arabinoxyl(e),0.000306649
EX_bglc_m,EX_bglc_m,bglc_m,EX_bglc(e),7.05e-08
EX_galmannan_m,EX_galmannan_m,galmannan_m,EX_galmannan(e),1.41e-05
EX_glcmannan_m,EX_glcmannan_m,glcmannan_m,EX_glcmannan(e),3.2899999999999987e-05
EX_levan1000_m,EX_levan1000_m,levan1000_m,EX_levan1000(e),1.41e-05
EX_lichn_m,EX_lichn_m,lichn_m,EX_lichn(e),8.3e-05
EX_lmn30_m,EX_lmn30_m,lmn30_m,EX_lmn30(e),0.000470195
EX_xyluglc_m,EX_xyluglc_m,xyluglc_m,EX_xyluglc(e),1.31e-05
EX_glc3meacp_m,EX_glc3meacp_m,glc3meacp_m,EX_glc3meacp(e),0.001045988
EX_rhamnogalurII_m,EX_rhamnogalurII_m,rhamnogalurII_m,EX_rhamnogalurII(e),0.000266987
EX_sbt_D_m,EX_sbt_D_m,sbt_D_m,EX_sbt_D(e),0.0474227927159625
EX_starch1200_m,EX_starch1200_m,starch1200_m,EX_starch1200(e),1.18e-05
EX_lnlc_m,EX_lnlc_m,lnlc_m,EX_lnlc(e),0.0359109
EX_gcald_m,EX_gcald_m,gcald_m,EX_gcald(e),1.0448281299999993
EX_acac_m,EX_acac_m,acac_m,EX_acac(e),0.005982091
EX_lnlnca_m,EX_lnlnca_m,lnlnca_m,EX_lnlnca(e),0.0017565
EX_lnlncg_m,EX_lnlncg_m,lnlncg_m,EX_lnlncg(e),0.0017565
EX_anzp_m,EX_anzp_m,anzp_m,EX_anzp(e),0.1612801341666662
EX_n2o_m,EX_n2o_m,n2o_m,EX_n2o(e),0.0441893107692308
EX_amp_m,EX_amp_m,amp_m,EX_amp(e),0.1
EX_coa_m,EX_coa_m,coa_m,EX_coa(e),0.0001518751428571
EX_glu_D_m,EX_glu_D_m,glu_D_m,EX_glu_D(e),0.1
EX_din_m,EX_din_m,din_m,EX_din(e),0.0016322949999999
EX_srv_m,EX_srv_m,srv_m,EX_srv(e),0.00938808
EX_alaglu_m,EX_alaglu_m,alaglu_m,EX_alaglu(e),0.0816761674999985
EX_lactl_m,EX_lactl_m,lactl_m,EX_lactl(e),0.2706997149999995
EX_mantr_m,EX_mantr_m,mantr_m,EX_mantr(e),0.0398850872115382
EX_stys_m,EX_stys_m,stys_m,EX_stys(e),0.0859535967187497
EX_malthx_m,EX_malthx_m,malthx_m,EX_malthx(e),0.0431787853030304
EX_alaala_m,EX_alaala_m,alaala_m,EX_alaala(e),3.0956e-05
EX_thmmp_m,EX_thmmp_m,thmmp_m,EX_thmmp(e),7.9397e-05
EX_4ahmmp_m,EX_4ahmmp_m,4ahmmp_m,EX_4ahmmp(e),3.0965e-05
EX_phenol_m,EX_phenol_m,phenol_m,EX_phenol(e),3.0964999999999986e-05
EX_alaasp_m,EX_alaasp_m,alaasp_m,EX_alaasp(e),0.3773494190277778
EX_fald_m,EX_fald_m,fald_m,EX_fald(e),0.1
EX_glyglu_m,EX_glyglu_m,glyglu_m,EX_glyglu(e),0.0063350389999999
