reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_pydam_m,pydam,0.02,Pyridoxamine,HMDB01431,C00534,1052.0,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",,EX_pydam_m,EX_pydam(e)
EX_fol_m,fol,0.02,Folate,HMDB00121,C00504,6037.0,,,EX_fol_m,EX_fol(e)
EX_pheme_m,pheme,0.02,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
EX_pheme_m,pheme,0.02,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
EX_cbl1_m,cbl1,0.1,Cob(I)alamin,HMDB03429,C00853,,,,EX_cbl1_m,EX_cbl1(e)
EX_chol_m,chol,0.02,Choline,HMDB00097,C00114,305.0,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,EX_chol_m,EX_chol(e)
EX_h2s_m,h2s,0.1,Hydrogen sulfide,,,,,,EX_h2s_m,EX_h2s(e)
EX_so4_m,so4,0.02,sulfate,HMDB01448,C00059,1118.0,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_so4_m,EX_so4(e)
EX_spmd_m,spmd,0.02,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
EX_spmd_m,spmd,0.02,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
EX_na1_m,na1,0.02,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
EX_ca2_m,ca2,0.1,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
EX_cobalt2_m,cobalt2,0.1,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
EX_cl_m,cl,0.1,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
EX_k_m,k,0.02,potassium,HMDB00586,C00238,813.0,InChI=1S/K/q+1,,EX_k_m,EX_k(e)
EX_fe2_m,fe2,0.02,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
EX_fe3_m,fe3,0.02,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
EX_mg2_m,mg2,0.1,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
EX_mn2_m,mn2,0.1,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
EX_mobd_m,mobd,0.1,Molybdate,,,,,,EX_mobd_m,EX_mobd(e)
EX_cu2_m,cu2,0.1,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
EX_zn2_m,zn2,0.1,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
EX_sel_m,sel,0.1,selenate,,C05697,1089.0,"InChI=1S/H2O4Se/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_sel_m,EX_sel(e)
EX_pime_m,pime,0.1,Pimelate,,,,,,EX_pime_m,EX_pime(e)
EX_mqn8_m,mqn8,0.02,Menaquinone 8,,C00828,4086.0,,,EX_mqn8_m,EX_mqn8(e)
