sample_id,,Akkermansia,Anaerostipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Collinsella,Coprococcus,Faecalibacterium,Gemmiger,Lachnospira,Parabacteroides,Roseburia,Ruminococcus,Succinivibrio,__
FOS_3_2,4.653616223,1.453522448,0.0,25.506974558,1.910678701,9.78783261,2.063064119,0.0,6.177470402,3.106318134,2.672605791,0.093775642,1.9692884769999999,1.898956746,10.655257295999998,0.0,1.5824639550000001
FOS_3_3,4.586929716,1.676942047,0.024660912,21.874229346,2.009864365,11.24537608,2.61405672,0.0,6.473489519,2.8236744760000003,3.304562269,0.073982737,2.133168927,1.997533909,10.480887793,0.0,1.5906288530000001
FOS_4_1,6.291506466,0.547594081,0.081556565,11.068391004999999,2.5865082139999998,4.893393918,0.862169405,3.262262612,2.504951649,14.249097052,6.60608179,7.701269952,1.013631597,0.838867529,2.586508214,0.0,3.052545729
FOS_4_2,6.267638758,0.529162747,0.070555033,10.724365004000001,2.845719661,5.091721543,0.729068674,3.563029163,2.833960489,13.581843838000001,6.502822201,7.631702728,0.823142051,0.964252117,2.822201317,0.0,2.6222953899999997
FOS_4_3,5.3427895979999995,0.460992908,0.153664303,11.855791962,2.966903073,4.527186761,1.477541371,3.427895981,2.612293144,12.588652483,6.513002364,8.29787234,0.957446808,0.61465721,2.955082742,0.0,2.6359338059999997
FOS_5_1,2.253840342,0.591790481,0.0,32.661798036,1.397632838,7.101485772,3.361873583,0.201460589,10.12339461,12.263913372000001,0.956937799,1.158398388,0.478468899,0.591790481,0.906572652,0.0,5.464618484
FOS_5_2,2.338892727,0.661205961,0.0,33.603079049,1.203986973,6.829172012,3.493535972,0.088818711,10.25362676,10.964176453,0.93753084,1.519786835,0.6612059610000001,0.661205961,0.7697621640000001,0.0,5.082404026
FOS_5_3,2.547247329,0.610400282,0.0,34.29980045,1.103415894,6.550064562,3.368940016,0.234769339,10.13029698,11.668036154,0.903861956,1.420354502,0.856908087,0.457800211,0.8099542200000001,0.0,5.235356262
FOS_6_1,4.235072676,0.261424239,0.261424239,13.709087103,2.750182997,8.125065356,1.673115131,3.586740563,2.948865419,8.083237478,0.345079996,1.652201192,2.206420579,6.535605981,9.4844714,7.957753843,2.959322388
FOS_6_2,4.385245901999999,0.245901639,0.071721311,13.196721306999999,2.530737705,8.278688525,1.618852459,3.780737705,2.961065574,7.735655737,0.18442623,1.547131148,2.397540983,6.178278689,9.651639344,8.463114754,3.073770492
FOS_6_3,4.3340075119999995,0.245593759,0.101126842,9.823750361,3.1349321010000004,9.029182317,1.834729847,3.683906385,3.770586536,8.581334874,0.216700376,1.545796013,1.516902629,7.338919387,10.488298179000001,9.144755851,3.077145334
FOS_7_1,0.188608072,0.0,0.289199044,39.98491135,12.12121212,4.853514397,2.640513014,4.903809883,5.771407016,11.153024014,0.0,0.565824217,2.9297120580000002,0.0,0.062869357,0.0,3.256632717
